,Name,Num Entries,Year,Time,Record Identifier,Status of System,Latitude,Longitude,Maximum Sustained Wind,Minimum Pressure,34-knot Wind Radii NE,34-knot Wind Radii SE,34-knot Wind Radii SW,34-knot Wind Radii NW,50-knot Wind Radii NE,50-knot Wind Radii SE,50-knot Wind Radii SW,50-knot Wind Radii NW,64-knot Wind Radii NE,64-knot Wind Radii SE,64-knot Wind Radii SW,64-knot Wind Radii NW,Speed mph
0,DANIELLE,62,8/31/2022,1200,  , LO,37.5,46.6,25.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,DANIELLE,62,8/31/2022,1800,  , LO,37.8,46.1,25.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.719926212572194
2,DANIELLE,62,9/1/2022, 0000,  , LO,38.0,45.6,25.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09382000276963
3,DANIELLE,62,9/1/2022, 0600,  , TD,38.1,45.2,30.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.805719942247258
4,DANIELLE,62,9/1/2022,1200,  , TS,38.1,44.8,35.0,1007.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6248347117204553
5,DANIELLE,62,9/1/2022,1800,  , TS,38.0,44.4,45.0,1002.0,40.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.805719942247313
6,DANIELLE,62,9/2/2022, 0000,  , TS,37.9,44.1,55.0,996.0,60.0,40.0,20.0,50.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,2.9575937441855626
7,DANIELLE,62,9/2/2022, 0600,  , TS,37.8,43.8,60.0,990.0,70.0,50.0,40.0,60.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,2.961005703631537
8,DANIELLE,62,9/2/2022,1200,  , HU,37.8,43.6,65.0,986.0,80.0,60.0,60.0,70.0,30.0,20.0,20.0,20.0,0.0,0.0,0.0,15.0,1.8198344875171146
9,DANIELLE,62,9/2/2022,1800,  , HU,37.9,43.5,65.0,985.0,90.0,70.0,70.0,80.0,30.0,30.0,30.0,20.0,0.0,0.0,15.0,15.0,1.467289101491995
10,DANIELLE,62,9/3/2022, 0000,  , HU,38.0,43.6,65.0,986.0,100.0,80.0,80.0,90.0,40.0,30.0,30.0,30.0,15.0,15.0,0.0,0.0,1.4665243019914518
11,DANIELLE,62,9/3/2022, 0600,  , TS,38.0,43.8,60.0,989.0,110.0,90.0,80.0,90.0,50.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,1.814895964745548
12,DANIELLE,62,9/3/2022,1200,  , TS,38.0,44.2,60.0,989.0,110.0,90.0,80.0,90.0,50.0,40.0,40.0,50.0,0.0,0.0,0.0,0.0,3.6297898339702144
13,DANIELLE,62,9/3/2022,1800,  , TS,38.0,44.6,60.0,989.0,110.0,90.0,80.0,100.0,60.0,50.0,40.0,50.0,0.0,0.0,0.0,0.0,3.629789833970099
14,DANIELLE,62,9/4/2022, 0000,  , HU,37.9,45.0,65.0,986.0,110.0,100.0,80.0,100.0,60.0,50.0,40.0,60.0,15.0,25.0,0.0,0.0,3.8104378052144523
15,DANIELLE,62,9/4/2022, 0600,  , HU,37.9,45.3,70.0,982.0,110.0,100.0,80.0,100.0,60.0,50.0,50.0,60.0,15.0,30.0,0.0,0.0,2.7260513383954788
16,DANIELLE,62,9/4/2022,1200,  , HU,38.1,45.4,70.0,979.0,110.0,100.0,80.0,100.0,60.0,50.0,50.0,50.0,20.0,35.0,0.0,15.0,2.4754590202462534
17,DANIELLE,62,9/4/2022,1800,  , HU,38.4,45.2,75.0,976.0,110.0,100.0,90.0,90.0,60.0,50.0,50.0,50.0,20.0,40.0,0.0,15.0,3.8995293362226566
18,DANIELLE,62,9/5/2022, 0000,  , HU,38.7,45.0,75.0,975.0,110.0,100.0,90.0,90.0,50.0,50.0,50.0,50.0,20.0,40.0,0.0,15.0,3.896060688179903
19,DANIELLE,62,9/5/2022, 0600,  , HU,39.2,44.6,75.0,975.0,110.0,110.0,90.0,90.0,50.0,50.0,50.0,50.0,20.0,40.0,0.0,15.0,6.781236327384062
20,DANIELLE,62,9/5/2022,1200,  , HU,39.9,44.1,75.0,975.0,110.0,110.0,100.0,90.0,50.0,50.0,50.0,50.0,20.0,40.0,20.0,20.0,9.202686942402476
21,DANIELLE,62,9/5/2022,1800,  , HU,40.6,43.6,75.0,976.0,110.0,120.0,100.0,100.0,50.0,60.0,60.0,50.0,20.0,40.0,20.0,20.0,9.181002712427382
22,DANIELLE,62,9/6/2022, 0000,  , HU,41.3,43.1,70.0,980.0,120.0,130.0,110.0,100.0,60.0,70.0,60.0,50.0,20.0,45.0,20.0,20.0,9.159177981017299
23,DANIELLE,62,9/6/2022, 0600,  , HU,41.8,42.5,65.0,982.0,120.0,130.0,120.0,100.0,60.0,70.0,70.0,50.0,20.0,45.0,20.0,0.0,7.738842960762899
24,DANIELLE,62,9/6/2022,1200,  , HU,42.1,41.8,65.0,982.0,130.0,140.0,130.0,110.0,60.0,80.0,70.0,60.0,25.0,50.0,20.0,0.0,6.919296939726206
25,DANIELLE,62,9/6/2022,1800,  , HU,42.3,41.0,65.0,980.0,140.0,150.0,140.0,110.0,60.0,90.0,80.0,70.0,25.0,55.0,25.0,0.0,7.2028058930763414
26,DANIELLE,62,9/7/2022, 0000,  , HU,42.5,39.9,65.0,978.0,150.0,160.0,140.0,120.0,70.0,100.0,80.0,70.0,30.0,60.0,30.0,0.0,9.633480232223919
27,DANIELLE,62,9/7/2022, 0600,  , HU,42.9,38.6,70.0,974.0,160.0,170.0,150.0,130.0,70.0,100.0,90.0,80.0,35.0,60.0,40.0,0.0,11.927139245676939
