,Name,Num Entries,Year,Time,Record Identifier,Status of System,Latitude,Longitude,Maximum Sustained Wind,Minimum Pressure,34-knot Wind Radii NE,34-knot Wind Radii SE,34-knot Wind Radii SW,34-knot Wind Radii NW,50-knot Wind Radii NE,50-knot Wind Radii SE,50-knot Wind Radii SW,50-knot Wind Radii NW,64-knot Wind Radii NE,64-knot Wind Radii SE,64-knot Wind Radii SW,64-knot Wind Radii NW
45339,               ALEX,25,7/31/2004,1800,  , TD, 30.3N,  78.3W,25.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45340,               ALEX,25,8/1/2004, 0000,  , TD, 31.0N,  78.8W,25.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45341,               ALEX,25,8/1/2004, 0600,  , TD, 31.5N,  79.0W,25.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45342,               ALEX,25,8/1/2004,1200,  , TD, 31.6N,  79.1W,30.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45343,               ALEX,25,8/1/2004,1800,  , TS, 31.6N,  79.2W,35.0,1009.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45344,               ALEX,25,8/2/2004, 0000,  , TS, 31.5N,  79.3W,35.0,1007.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45345,               ALEX,25,8/2/2004, 0600,  , TS, 31.4N,  79.4W,40.0,1005.0,60.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45346,               ALEX,25,8/2/2004,1200,  , TS, 31.3N,  79.0W,50.0,992.0,75.0,90.0,60.0,20.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
45347,               ALEX,25,8/2/2004,1800,  , TS, 31.8N,  78.7W,50.0,993.0,75.0,90.0,50.0,30.0,30.0,30.0,20.0,20.0,0.0,0.0,0.0,0.0
45348,               ALEX,25,8/3/2004, 0000,  , TS, 32.4N,  78.2W,60.0,987.0,75.0,90.0,50.0,30.0,30.0,30.0,20.0,20.0,0.0,0.0,0.0,0.0
45349,               ALEX,25,8/3/2004, 0600,  , HU, 33.0N,  77.4W,70.0,983.0,75.0,90.0,50.0,40.0,30.0,30.0,30.0,20.0,20.0,20.0,20.0,0.0
45350,               ALEX,25,8/3/2004,1200,  , HU, 34.2N,  76.4W,85.0,974.0,75.0,90.0,50.0,40.0,30.0,50.0,30.0,20.0,20.0,20.0,20.0,0.0
45351,               ALEX,25,8/3/2004,1800,  , HU, 35.3N,  75.2W,85.0,972.0,90.0,90.0,75.0,50.0,60.0,50.0,30.0,30.0,30.0,30.0,20.0,15.0
45352,               ALEX,25,8/4/2004, 0000,  , HU, 36.0N,  73.7W,80.0,974.0,80.0,100.0,75.0,50.0,40.0,50.0,40.0,20.0,15.0,40.0,30.0,15.0
45353,               ALEX,25,8/4/2004, 0600,  , HU, 36.8N,  72.1W,80.0,973.0,60.0,120.0,75.0,75.0,40.0,75.0,50.0,50.0,20.0,50.0,30.0,15.0
45354,               ALEX,25,8/4/2004,1200,  , HU, 37.3N,  70.2W,85.0,973.0,60.0,120.0,75.0,75.0,40.0,75.0,50.0,50.0,20.0,50.0,30.0,15.0
45355,               ALEX,25,8/4/2004,1800,  , HU, 37.8N,  68.3W,95.0,965.0,90.0,150.0,125.0,75.0,50.0,75.0,50.0,50.0,25.0,50.0,25.0,15.0
45356,               ALEX,25,8/5/2004, 0000,  , HU, 38.5N,  66.0W,105.0,957.0,80.0,150.0,125.0,75.0,50.0,80.0,60.0,50.0,30.0,50.0,30.0,20.0
45357,               ALEX,25,8/5/2004, 0600,  , HU, 39.5N,  63.1W,105.0,957.0,80.0,225.0,200.0,75.0,50.0,80.0,60.0,50.0,30.0,50.0,30.0,20.0
45358,               ALEX,25,8/5/2004,1200,  , HU, 40.8N,  59.6W,100.0,962.0,80.0,300.0,300.0,75.0,50.0,80.0,60.0,50.0,30.0,50.0,30.0,20.0
